Word,Count
“you,1
“what,1
“the,1
“tap”,1
“repeatedly”,1
“red,1
“pro,1
“plaintiff”,1
“peace,1
“more,1
“jeanne,1
“it,1
“isu,1
“intimate,1
“immediate,1
“get,1
“each,1
“department”,1
“crack”,1
“course,1
“chemical,1
“cannabidiol”,1
“beyond,1
“as,1
“arrest”,1
“area,1
“advisors”,1
“accompanying,1
—plastic,1
—grease,1
§124 418,1
§124 401e,1
§124 401 1,1
yourselves,1
yourself,1
yes”,1
writing,1
workshop,1
works,1
worked,1
won’t,1
witness ”,1
withheld,1
wisneraf@iastate edu,1
wisner,1
wishes,1
wired,1
wire,1
willing,1
willfully,1
wife,1
wide-range,1
wide,1
wickless,1
whose,1
whole,1
whereabouts,1
whenever,1
whatsapp,1
whatever,1
welfare,1
weights,1
wednesday,1
websites,1
wearing”,1
ways,1
watch,1
waste,1
warrants,1
warrant,1
warnings/emergency,1
warmers,1
wants,1
walls,1
wallet,1
walking,1
walk,1
waits,1
wait,1
voluntarily,1
voice-enhanced,1
vital,1
visual,1
visits,1
visitor,1
visiting,1
visit,1
visible,1
visa,1
virtual,1
violence”,1
victim/witness,1
viable,1
veterinary,1
veterans,1
veteran,1
version,1
verified,1
valium,1
valid,1
utter,1
utilized,1
usually,1
user,1
useful,1
urges,1
urgent,1
upper,1
updating,1
updates,1
update,1
up/down,1
unwillingness,1
unusual,1
unreasonable,1
unprocessed,1
unmanageable,1
unlocked,1
unlock,1
unlaundered,1
unknown,1
university-sponsored,1
universities,1
unintentional—,1
uniform,1
unfortunate,1
unexplained,1
unescorted,1
unemancipated,1
undergo,1
uncontrolled,1
unannounced,1
unacceptable,1
ucr,1
u s c a,1
typically,1
tylenol,1
twitter,1
twenty-one,1
twenty-four,1
tunnels,1
trying,1
truthfully,1
truth,1
trips,1
triple,1
trip,1
triggering,1
tries,1
trees,1
treatement,1
treated,1
travelling,1
travel,1
trash,1
transmission,1
trainings,1
trainers,1
tragedies,1
toxic,1
towards,1
tour,1
touched,1
totality,1
tornados,1
tool,1
tire,1
timing,1
timeline,1
timeframe,1
though,1
